wiki,year,pagetitle,pageviews,desc_en,desc_ar,desc_de,desc_es,desc_fr,desc_ru,desc_zh,file_name,image_page,image_file,artist,license,licenseurl,daily_views
ruwiki,2016,"Трамп,_Дональд",5850380,45th and current president of the United States,الرئيس الخامس والأربعون للولايات المتحدة الأمريكية,45. Präsident der Vereinigten Staaten,45 ° y actual presidente de los Estados Unidos,président des États-Unis depuis 2017,"действующий, 45-й президент США. Бывший предприниматель и деятель культуры",美國第45任/現任總統,File:Donald_Trump_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Donald_Trump_official_portrait.jpg,"Shealah Craighead
",Public domain,,2699_8573_13176_5368_4150_3634_4129_3393_3055_4580_3114_3855_5847_4199_4915_3329_3657_5228_5281_4909_4282_3299_3350_5092_2988_3130_3765_3124_4010_2979_4271_9418_11648_4576_4928_3199_2788_4188_3278_5531_12940_6719_3905_3311_8522_3673_5103_10274_4668_4480_4987_11628_8202_4600_13052_4671_5427_5086_9079_5705_6947_24424_11682_17147_8499_17906_9797_7794_10830_6101_8038_7921_8669_7669_6440_16917_10441_7618_5424_7182_6019_7664_8712_8659_8253_5920_10619_12640_5474_4628_4307_3716_3934_5347_3544_3662_4124_3263_2576_2853_2770_2863_2352_2394_2473_2021_1968_2481_2055_2729_7274_3499_2568_1880_5135_3700_2828_10407_5208_3984_3322_5463_5909_5611_20463_13302_6510_6211_5818_3808_4151_4634_3785_4041_3861_4810_4028_3706_8368_4222_3182_3330_3211_2752_2748_3525_5485_3897_3236_3146_3698_2594_3036_2686_6318_2882_3631_3073_4445_7620_4388_4836_3250_4161_5672_6108_6187_4493_4089_3113_7133_3945_4423_3796_3425_4164_3012_3055_3088_2201_1970_2288_1946_1608_2088_2157_2071_2746_2790_2619_2318_1990_2062_2521_2389_2493_2713_2899_2210_3276_22525_17495_12794_20084_6673_10881_7689_7988_12719_14424_10991_6597_12105_25265_16738_9082_6540_5775_4181_4816_6090_5183_4225_5169_3802_3026_3153_3345_4144_3656_3005_4412_3390_3667_3539_5244_3850_3209_3591_2506_3279_4173_3413_3048_3042_4217_4447_4607_4044_5243_4464_7047_3957_3789_12070_20807_11034_10268_10020_9770_10062_6754_5501_4500_7857_5558_4475_5423_6692_7468_21362_9052_6334_5035_5491_9461_5882_5204_6287_5730_4536_6111_11258_16141_8721_6994_7778_6918_6104_9045_6277_8676_6910_13375_8420_7894_10580_7804_7392_8482_7738_7318_8485_8978_9904_12678_12908_13648_17233_16661_22385_28522_74406_1510172_596392_291281_195036_165224_139201_88179_66950_60577_44671_52296_46615_33959_29829_23872_23190_16704_18093_21965_16121_12809_12851_10816_12497_11747_12475_9709_9502_12139_11596_11164_12129_11667_9869_12484_10203_9819_9524_10615_11376_12510_14789_10627_9064_13321_9905_8573_8314_8305_8959_10568_11594_12691
enwiki,2016,Donald_Trump,77303239,45th and current president of the United States,الرئيس الخامس والأربعون للولايات المتحدة الأمريكية,45. Präsident der Vereinigten Staaten,45 ° y actual presidente de los Estados Unidos,président des États-Unis depuis 2017,"действующий, 45-й президент США. Бывший предприниматель и деятель культуры",美國第45任/現任總統,File:Donald_Trump_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Donald_Trump_official_portrait.jpg,"Shealah Craighead
",Public domain,,51031_51504_62107_53984_59724_65721_76985_60904_53405_62858_58034_60671_64925_75086_129323_79983_69259_90435_84532_97264_81645_70035_68015_78937_81702_106642_115534_111364_120692_81712_95065_147031_1133610_926817_379705_214252_135850_221849_200929_154789_331252_267203_210860_139002_170198_116440_80583_123478_180959_207773_136564_313403_357917_165894_286540_245500_385363_241682_263281_310605_420792_562471_508567_2379333_4041262_2996409_2097185_832270_681397_577135_482213_409815_423276_375331_374833_469460_307660_268372_218541_212027_221945_252630_240077_203811_199866_161193_160548_210443_186709_209002_176775_150493_114347_134369_145228_187201_155256_134404_113628_93086_110157_122114_131113_196604_111197_63691_50264_66667_75418_105057_167179_112163_85730_71831_75003_90678_97404_153346_110718_96100_78037_85357_82445_77236_299761_192225_139300_101465_100481_99585_96584_92235_89550_84808_74429_77790_95755_91481_98034_72899_63940_53220_55706_57240_56737_60696_85953_76023_61705_57518_58077_57508_63142_60548_61920_57241_57810_63761_78679_107824_77309_70855_62060_65900_74698_129169_123156_92493_75215_60894_62500_67714_79441_76290_71829_87672_69009_62233_58339_61984_54292_53698_49831_43802_45018_70675_80433_68933_57331_47457_40234_41641_44526_44757_51559_63904_84556_76396_74246_124165_671501_627857_455463_708939_201892_149055_131845_134057_144696_181316_181028_118991_113775_136862_144597_127575_117986_105782_79555_72226_74591_66600_66651_65065_61051_53110_51897_55496_54536_58934_61133_65222_54046_50697_73872_122853_106447_94021_71393_62247_75410_106813_80968_68874_74948_72632_54825_53059_60839_76620_63860_76872_67872_56442_94746_130261_94727_101102_115540_94700_71955_62777_64178_70460_70834_71387_61456_51856_62420_100608_463257_194609_150136_130731_124288_162323_151899_130217_118972_108338_105556_227732_254976_492675_257372_206567_215837_271419_293873_291422_311765_308231_374471_478977_244386_153833_151335_146092_129873_138517_149890_112532_83426_97927_112485_120489_145598_167750_172906_152989_203104_276983_536227_6194674_2704454_1566828_1022245_748804_817635_520509_413876_326817_277334_258195_245589_243729_205410_174087_154505_132722_117793_118392_112670_106141_109631_102489_100992_82911_84947_90409_90225_98218_90106_79119_81772_82155_80681_85621_82613_84063_79578_71861_74813_84836_97328_72688_77036_79286_73043_75155_68193_69566_65939_68277_65271_65002
frwiki,2016,France,6342567,sovereign state with mainland in Europe and several overseas territories,دولة ذات سيادة تقع في أوروبا وتضم عدة أقاليم فيما وراء البحار,souveräner Staat mit Festland in Europa und mehreren überseeischen Territorien,país de Europa,pays transcontinental dont le territoire métropolitain est situé en Europe occidentale,государство в Западной Европе,西歐國家，並同時擁有多個海外領土,File:Mapadefrancia.svg,https://commons.wikimedia.org/wiki/File:Mapadefrancia.svg,https://upload.wikimedia.org/wikipedia/commons/6/67/Mapadefrancia.svg,Monsieur Fou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,9438_9995_11701_10471_10258_10201_9556_9013_9499_10913_9788_10421_9975_9678_9088_11797_10562_9782_11064_10581_9594_8856_13348_10407_9948_9765_10246_9442_9108_9301_10765_10338_9626_9536_8954_8308_8497_9838_9240_9257_10102_9053_8880_9437_9654_9550_8866_9577_9262_8487_8770_10102_9888_9590_9616_9151_9600_8844_10187_9442_9482_9763_9527_9011_9770_10718_10175_10071_10071_9582_8498_8143_10118_9976_9662_10311_9181_8250_8382_9847_9481_9647_9962_9565_8592_8278_9987_10855_10011_9828_9193_8532_8822_9597_9657_9811_9202_8886_8509_8039_9577_9401_9146_9358_9495_8538_8562_9397_9585_9008_9171_9069_8444_8732_9562_9767_9797_9571_9907_8514_8380_9878_9140_8973_8253_8244_9638_9369_10256_10281_10015_10626_10700_11712_13190_13056_11861_9610_10136_10140_8989_9147_13464_10109_9794_12708_8712_8360_7987_9672_9612_9569_10090_9745_10386_8538_8961_8912_8642_9006_8784_9639_8968_10327_10092_12122_12345_10550_8641_8601_9527_9135_12036_10724_8113_10001_9101_10175_11790_9789_8143_8971_10784_9690_12106_10900_7952_8120_9433_8977_7539_9976_8794_8363_7692_9927_9870_8537_8668_8232_7787_18142_22829_22435_22092_22650_22390_22853_22553_22499_22348_20422_24226_22595_22559_22434_22624_22555_23145_22708_23038_23209_22978_23226_25721_22201_23241_23715_23036_23768_23796_20794_23952_24314_23479_22499_22853_22639_23078_22385_22813_22728_22558_22208_22334_22146_19167_23313_22982_23471_23338_22869_24072_22578_23193_22918_23153_23523_23096_22169_23084_23994_23625_23449_24101_23115_22747_22649_24573_23553_23380_23864_23610_22758_23178_24513_23812_23752_24423_23704_26534_24025_24794_24525_23717_24130_24275_23073_23377_24615_23950_23534_19835_23257_29627_29958_31320_30544_31020_30793_30953_30250_30055_31781_31172_31651_31717_31320_30427_31778_33518_32143_32054_32884_31292_32228_31821_33162_32126_32407_32207_31667_30991_32769_34922_32504_32012_31727_31891_30519_31131_32705_32280_31964_31676_31160_30873_30781_32943_32521_32524_31884_31178_30863_30344_31767_31441_31092_31318_30805_29981_30921_31917_31140_30730_29942_30063_30164_29364_30071_30674_30708_30822_31273_30970_30644
eswiki,2016,Lali_Espósito,26169209,"Argentinian actress, singer, dancer and model",ممثلة ومغنية وراقصة وعارضة أزياء أرجنتينية,"Argentinische Schauspielerin, Sängerin, Tänzerin und Model","actriz, cantante y bailarina argentina",actrice et chanteuse argentine,"Аргентинская актриса, певица, танцовщица и модель",阿根廷女演員，歌手，舞蹈演員和模特兒,File:Lali_2018.png,https://commons.wikimedia.org/wiki/File:Lali_2018.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Lali_2018.png,Fernando Radl,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,2478_2598_2351_2716_2746_2718_2843_3363_2634_2285_2396_2702_2912_3280_3995_2430_2651_2922_6270_3607_3238_2724_2109_1944_2419_2277_2279_2115_2211_1823_1840_2094_1948_2197_1973_2116_3037_1853_2613_2275_2030_1940_2014_1937_2069_2557_2237_2101_1968_1854_1628_1700_4584_2260_2181_1945_2031_1718_1666_1868_1903_1766_1688_1769_1480_1536_1709_1793_1907_2223_1915_3505_2222_1912_1783_1782_1629_1510_1658_1844_1674_1803_1629_1997_1843_1565_1741_4067_2806_1937_1786_1568_1501_1677_2091_1652_1524_1615_1391_1289_2037_1694_1685_1618_1580_1511_1445_2093_1642_1487_1472_1478_1566_1305_1378_1630_1555_1503_1398_1289_1179_1314_1559_1258_1239_1359_1176_1121_1145_1163_1375_1415_1231_1098_1062_1195_3256_1854_1604_1397_1530_1895_2732_1928_2252_1765_1620_1293_1263_1627_1544_4669_1719_1661_1190_1260_1331_1610_1544_1335_1608_1828_1164_1284_1645_1437_1512_1546_1723_1157_1197_1841_1731_1653_1835_1440_1160_1197_1255_1294_1168_1579_982_1176_1545_1382_1225_1111_5590_2801_5885_4331_1711_4679_2079_1948_1933_17780_13947_15133_20712_12008_17200_8517_8894_14287_23676_39723_35291_47196_52139_29964_51194_38146_47047_33749_29124_41881_76259_59369_52466_44626_68747_55490_50404_119921_129561_67801_93498_69051_66074_86259_117550_83941_57937_172307_154236_104755_75544_106262_126682_192811_213363_160089_214815_133149_145837_242896_305415_154638_193065_127528_118042_133629_167701_173286_112427_196304_270410_192794_289457_219759_279662_301862_263598_150779_287829_190266_245456_233429_280913_262860_186468_175055_363624_338303_304858_345423_215449_104279_214639_146512_354641_183004_241196_234243_243185_180007_208799_309392_319645_333867_270786_282982_281822_265448_253767_212291_188370_241843_381600_323947_279669_318411_274272_178644_179684_144136_124492_291194_261222_140831_148773_154682_187889_193338_163456_138480_141170_106830_185082_127368_128097_117874_130514_189787_132574_126195_121632_122146_106880_91366_111110_90942_140122_141563_197211_194223_135479_123287_227198_155886_199023_133554_124445_106408_165268_116058_140923_135151_161481_161507_123699_110326_126483_122175_102541_47215_38393_26537_51938_44261_50672_49800_96113_27941
zhwiki,2016,Running_Man,6733622,South Korean variety show,برنامج منوعات كوري جنوبي,Südkoreanische Varieté-Show,Programa de variedades de Corea del Sur,émission de variété sud-coréenne,Южнокорейское варьете,韓國綜藝節目,,,,,,,22108_26773_34673_29671_21207_19290_18009_18857_24389_31374_31065_21418_18950_17911_17694_20891_30230_27954_20884_19762_19327_18857_23525_27802_28735_20975_18687_19402_20619_23346_26935_28615_20948_18894_18193_18705_19002_22397_27500_21766_21847_22417_22660_25053_30171_30190_21307_18021_18087_16750_22204_30524_28297_20593_18149_17146_17499_25157_29535_30082_18945_17355_16899_17395_23587_29931_27783_20329_18153_16907_16832_22198_30017_27614_21109_18472_17952_18329_24245_31502_30879_23030_20860_18474_19924_22078_31711_33026_24894_21086_19767_18785_23622_30509_36008_29122_20596_17988_18282_24437_36493_31631_21243_19923_17195_17980_25430_34938_34569_22797_21866_20126_20494_25721_36246_33286_24107_20690_19882_19410_25938_38386_39286_25154_20388_19330_24326_24061_28651_32696_23386_18370_16550_18001_24437_31438_29976_21958_18955_18004_19064_23534_32066_29188_24489_20422_18268_18058_23247_29161_26536_19927_17766_17999_17370_20148_31501_30828_21144_19200_22977_21477_23029_31757_32533_23260_20717_18364_18927_21557_29646_32766_22400_19259_18288_17521_20886_26470_27067_20318_18272_18338_19034_20217_27157_29664_22534_19999_20301_23995_21999_28739_31072_21950_17939_17659_16837_17976_24353_27155_18233_16205_15389_15208_16270_23949_26772_16905_14858_13742_13190_15758_21958_24960_16087_13045_11977_11550_12995_17180_20301_12620_11408_10216_11577_12576_16459_19628_13273_12152_10668_11260_12370_17167_20820_14318_12553_11561_11594_13054_17656_18577_12057_11010_9660_10088_12085_15807_15827_11045_9685_8651_9308_12043_18378_16790_10851_11870_10913_11879_15391_18132_16659_10542_9528_8743_8916_11614_16671_16927_19829_14058_8544_8842_11886_16830_16855_10660_8681_8090_8480_10988_14601_17320_9813_8356_7684_7972_10536_13732_12724_8965_8383_7973_10552_11533_14551_13596_19892_13536_10094_9659_11246_14881_17322_11110_8446_7921_8741_10266_18551_22400_13370_8423_6992_8159_10245_12698_11578_10013_7785_7011_7163_9586_13188_13082_8384_7364_6890_6491_8680_11603_12000_8709_7816_6596_6176_8908_13005_13656_8508_6903_5971_6137_7894_9992_10577_8234_23699_15789_21840_16772_14978_16508_10505_8671_7314_7382_8347_11710_13571_10254_8233_7372_6909_7469
arwiki,2016,معرض_أعلام_الدول,2834488,Wikipedia list article about country flags,قائمة ويكيبيديا حول أعلام الدول,Wikipedialisten der Länderflaggen,Lista de Wikipedia sobre banderas de países,liste d'un projet Wikimedia,статья-список в проекте Викимедиа о флагах стран,維基百科上有關國家標誌的列表文章,,,,,,,11488_11517_11731_11426_11437_11275_11485_12788_12466_11979_12542_12908_12629_13176_14165_13780_14294_14549_15198_14618_13741_14609_15396_15287_16064_15617_14965_13761_14952_14736_14376_14809_15686_15209_15065_15908_16619_16610_16103_15071_15789_15467_16284_16156_15062_15384_15685_16450_16627_18438_18789_24760_19857_20386_18996_18396_19663_18828_18607_18155_18470_17935_18543_18934_17109_16324_16292_15531_15859_15450_15103_13114_14229_15316_15961_15637_14704_15948_15354_15063_14768_14701_15307_14912_15848_16094_15837_15654_13651_13673_14024_15266_14491_15120_15995_15713_15392_14625_15582_14228_14720_14610_14538_14716_14265_14297_14464_13971_13848_13755_13476_12754_13823_13182_13198_12539_12549_13090_13335_14413_13684_13821_12783_12489_11935_11632_11988_10767_10025_9601_9435_9323_8621_8512_7638_7134_7268_7284_7660_7478_8264_7662_7623_7615_8112_7898_7545_7510_7553_7507_7317_7516_7163_6808_6884_6205_5678_5295_5695_5875_5810_6299_6496_5840_6104_5915_6196_6145_5917_5653_5686_5363_5431_5543_5368_5395_5395_5749_5539_4905_5071_5206_5109_4608_4809_4454_4255_3273_4159_4678_4883_4969_5009_5065_5037_4906_4978_4868_5045_5019_4729_4831_4645_4445_4603_4754_4674_4719_4509_4394_4907_4367_4618_4717_4535_4212_3976_4436_4368_4407_4592_4069_4281_4024_4180_4380_4294_4302_4163_4117_4020_4177_3961_3897_4137_3910_3705_3609_3592_3464_3469_3516_3450_3379_3667_3408_3312_3190_3041_3100_2889_2904_3105_3047_2680_2698_2811_2768_2900_3209_2845_2696_2800_2503_2606_2391_2626_2552_2270_2308_2336_2329_2177_2268_2433_2334_2630_2173_2254_2250_2321_2319_2225_2291_2526_2471_2408_2401_2474_2110_2087_2155_2048_2043_2307_2095_2092_2071_2068_1844_1825_1850_1956_1898_1828_1739_1759_1706_2094_1918_1804_1842_1879_1745_1877_2201_2090_2115_2131_2182_2266_2172_2456_2201_2127_2195_2213_1950_1918_2276_2145_2137_1874_1865_1953_2057_2307_2130_2030_1987_2026_2091_2143_2537_2241_2108_2237_2173_2060_2308_2447_2678_2509_2269_2044_2089_2208_2581_2754_2647_2357_2401_2266_2280_2530_2339
dewiki,2016,Deutschland,7205461,sovereign state in Central Europe,دولة ذات سيادة في وسط أوروبا,souveräner Staat in Mitteleuropa,País de Europa y Miembro de la Unión Europea,pays d'Europe,сувереноое государство в Центральной Европе,中歐主權國家,File:Germany_in_the_European_Union_on_the_globe_(Europe_centered).svg,https://commons.wikimedia.org/wiki/File:Germany_in_the_European_Union_on_the_globe_(Europe_centered).svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Germany_in_the_European_Union_on_the_globe_%28Europe_centered%29.svg,TUBS,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,16474_19058_20988_21097_20357_22779_21440_19428_17956_23121_21730_22607_22537_22911_20124_19172_23756_23322_22176_23832_22075_20382_18372_22913_47835_27611_24612_25044_23196_20910_28002_26736_25777_25349_22415_20109_17953_22865_23428_24000_23788_22196_20716_19781_24570_26598_26379_25595_24971_22897_22097_26840_27162_26330_25028_25323_22245_19524_25890_25339_24335_24340_23262_22553_20504_25998_25033_21298_19796_19676_17963_16441_26293_25496_21101_19278_17707_16908_15144_17912_19069_20244_17928_16320_18422_15276_18435_19218_19999_19506_17889_18383_15421_17722_19602_19770_19061_18858_16691_14491_17408_18381_18339_18810_18124_17154_15164_19707_20066_19094_19151_17227_16212_15226_19371_20552_20293_20102_18037_16196_13571_16902_17303_17638_16094_14698_13514_12982_16764_18600_19403_18768_18245_16555_17489_17869_18951_18284_18012_18176_16507_13817_17701_24400_20814_19359_18422_15734_13890_19061_20964_20228_20070_20442_17696_15615_18748_20538_20335_20543_21730_22030_19605_32998_25477_32073_26639_28602_20535_21513_23455_22176_24385_22166_21060_23485_22724_29114_36152_25263_21045_20709_21938_28138_31125_20427_19589_22021_22866_16590_15011_18986_18902_20590_20819_20700_19574_21361_21442_21487_19093_18106_18038_19607_16767_18962_20609_19075_19039_18138_17353_16116_20304_21553_19877_19920_18659_19182_18575_19345_21809_23789_23939_21700_21332_18362_21430_18632_19251_18818_19301_17373_17866_20182_18571_17023_18193_15802_20794_13666_15995_18123_17087_17081_15745_15590_14001_21010_19741_18341_17136_16643_15595_13428_16707_17174_16769_16734_16715_16688_13815_18619_18014_17852_16657_16389_14809_12188_15230_16962_17071_16607_15799_14549_13909_16913_20851_17191_16418_17106_16582_18662_17674_17221_17930_17920_16287_15588_13941_15686_17052_17203_17785_17656_16855_14806_16766_18044_17843_17781_17765_15655_13332_17002_16922_19079_18979_16994_16426_16149_19383_22435_21076_22955_19500_19856_17328_21285_20266_20768_19697_18484_16505_15966_20279_19673_19015_18038_17827_15591_14706_17554_20853_20852_19847_19475_17422_16436_21337_22462_21322_21103_20729_27610_16212_19612_20118_20261_21667_20426_17038_15151_19536_21851_20169_18481_17333_15734_15318_20465_21121_19713_20416_19322_19615_16400
ruwiki,2017,Россия,5017394,sovereign state in Eastern Europe and Northern Asia,دولة ذات سيادة في أوروبا الشرقية وشمال آسيا,souveräner Staat in Osteuropa und Nordasien,país de Europa y Asia,pays d'Europe et d'Asie,суверенное государство в Восточной Европе и Северной Азии,東歐和北亞主權國家,File:Flag_of_Russia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Russia.svg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg,Zscout370,Public domain,,12092_13894_13801_14186_14318_15725_15763_16392_16067_15924_16862_17102_16105_15497_17635_17422_17239_17353_17622_19085_16680_18348_17658_18090_17014_17149_16779_15792_17358_17195_16188_15908_15860_15065_14806_16702_16403_16808_16578_16743_15313_14988_17785_16474_15800_16828_15967_15581_15141_17544_16687_15704_14819_17326_14801_14898_16166_15875_16202_15780_15241_13778_13763_15018_14368_14827_12950_14217_13744_13669_15126_15253_14951_14898_14861_14015_14302_15573_15829_15253_15394_15039_14193_13645_15121_14998_15005_15185_15277_13896_13189_14887_15099_15103_14856_14935_13995_13243_15350_15221_14956_15521_15296_15471_14827_17817_18797_17310_16541_16011_14805_13784_16235_15881_15290_15233_15240_13087_11618_12156_13772_14603_15155_14533_13195_12004_13250_14926_19497_17094_17033_14694_13997_16231_16761_16693_16317_16855_13825_12916_16043_16592_15447_15104_13807_12362_11427_15234_13547_13833_13589_12673_12016_11358_13277_16659_15170_15205_13928_13928_12861_14045_19495_14772_14063_14494_14991_12704_13131_13267_13250_13021_12916_11058_11406_11125_11652_10980_11024_11134_10119_9675_11273_10784_10826_11126_11134_11036_10681_10978_10151_10038_10689_10459_9698_8889_9917_10412_10548_10789_10598_9679_9550_9834_10625_10405_10620_10644_11364_10447_11496_11252_13085_10366_10224_10081_9111_10137_10281_11184_10800_10748_10766_10200_10573_10774_11381_10402_10415_10021_9307_10002_10886_11534_10720_10441_10167_9689_12217_10418_10810_10978_11708_16033_10759_12955_15035_14808_15615_14692_12477_11888_14666_14112_14200_14235_14227_12616_11376_14047_14351_14037_14029_13987_12482_11357_13718_14050_16018_13217_12635_11467_10540_13713_13695_13325_12733_12985_12397_12086_13104_13526_13769_13817_14172_12461_11548_13297_13442_13350_13185_12965_11936_11315_13453_13507_13866_13358_13050_12220_11087_12344_12865_12254_12111_12340_12007_11762_12880_60130_14511_13717_14988_15840_12092_13604_13874_13781_13851_13359_12439_11895_13658_13237_13668_13443_13831_12299_12126_14612_14258_13893_14157_13838_12591_12064_14040_13286_13147_14267_13989_12911_12815_13992_13989_13566_13805_13924_12118_11828_13254_13498_14500_12860_12569_11675_10365_12234_12242_12011_11170_10229_10063_9124_9482
